YEAR,FGM_PER_GAME,FGA_PER_GAME,FG2M_PER_GAME,FG2A_PER_GAME,FG3M_PER_GAME,FG3A_PER_GAME,FTM_PER_GAME,FTA_PER_GAME
1998-99,34.168965517241375,78.19655172413792,29.71448275862069,65.03379310344828,4.455172413793103,13.16551724137931,18.779310344827586,25.79655172413793
1999-00,36.83103448275862,82.09655172413794,31.99243061396131,68.37931034482759,4.837931034482759,13.717241379310344,18.96551724137931,25.282758620689656
2000-01,35.682758620689654,80.60344827586206,30.841463414634145,66.89108494533221,4.841379310344828,13.706896551724139,18.593103448275862,24.879310344827587
2001-02,36.172413793103445,81.26896551724138,30.95416316232128,66.52186711522288,5.213793103448276,14.755172413793103,17.913793103448278,23.82758620689655
2002-03,35.710344827586205,80.78275862068965,30.587468460891504,66.10470984020185,5.13448275862069,14.675862068965518,18.50689655172414,24.43103448275862
2003-04,35.00689655172414,79.81724137931033,29.828847771236333,64.89066442388561,5.182758620689656,14.920689655172414,18.193103448275863,24.20344827586207
2004-05,35.943333333333335,80.33666666666666,30.34878048780488,64.58455284552845,5.6,15.75,19.7,26.05666666666667
2005-06,35.836666666666666,78.99,30.11382113821138,63.00894308943089,5.7266666666666675,15.983333333333333,19.6,26.303333333333335
2006-07,36.526666666666664,79.71000000000001,30.460975609756098,62.764634146341464,6.069999999999999,16.94,19.616666666666667,26.08
2007-08,37.26,81.51,30.709349593495933,63.39715447154472,6.5633333333333335,18.10666666666667,18.85,24.94
2008-09,37.11333333333334,80.91666666666667,30.470731707317075,62.793089430894305,6.653333333333333,18.133333333333333,19.05666666666667,24.736666666666668
2009-10,37.69666666666667,81.69333333333334,31.26341463414634,63.56382113821139,6.4399999999999995,18.136666666666667,18.623333333333335,24.543333333333333
2010-11,37.24666666666667,81.21000000000001,30.78780487804878,63.202032520325204,6.463333333333334,18.009999999999998,18.603333333333335,24.366666666666667
2011-12,36.47666666666667,81.43,30.06313131313131,63.04545454545454,6.406666666666666,18.386666666666667,16.896666666666665,22.46333333333333
2012-13,37.12,82.02666666666667,29.974867007929337,62.05910368362943,7.163333333333333,19.966666666666665,16.706666666666667,22.19
2013-14,37.71666666666667,83.0,29.969512195121954,61.462601626016266,7.743333333333334,21.53666666666667,17.836666666666666,23.59333333333333
2014-15,37.516666666666666,83.56333333333333,29.669512195121953,61.15162601626016,7.85,22.41,17.136666666666667,22.846666666666668
2015-16,38.230000000000004,84.57,29.720325203252035,60.49105691056911,8.506666666666666,24.083333333333332,17.69,23.353333333333335
2016-17,39.05,85.41666666666667,29.395528455284552,58.411788617886174,9.65,27.003333333333334,17.833333333333332,23.11
2017-18,39.60666666666667,86.06333333333333,29.117073170731707,57.06016260162601,10.486666666666668,28.996666666666666,16.613333333333333,21.673333333333336
2018-19,41.07333333333334,89.21333333333334,29.718292682926826,57.201626016260164,11.360000000000001,32.00666666666667,17.676666666666666,23.073333333333334
2019-20,40.830000000000005,88.8,28.634485907153813,54.708990564653625,12.193333333333333,34.10333333333333,17.846666666666668,23.096666666666668
2020-21,41.21,88.41666666666667,28.51527777777778,53.77824074074074,12.706666666666667,34.63666666666666,16.970000000000002,21.816666666666666
2021-22,40.623333333333335,88.08999999999999,28.183739837398374,52.921544715447155,12.44,35.18,16.933333333333334,21.85666666666667
2022-23,41.97666666666667,88.31666666666666,29.634552845528454,54.0869918699187,12.34,34.21,18.39333333333333,23.529999999999998
